                            sym.mbrtowc   104 0x140007870 |   MATCH  (1.000000) | 0x140007870    104 sym.mbrtowc
                          sym.mbsrtowcs   261 0x1400078e0 |   MATCH  (1.000000) | 0x1400078e0    261 sym.mbsrtowcs
                             sym.mbrlen    88 0x1400079f0 |   MATCH  (1.000000) | 0x1400079f0     88 sym.mbrlen
                sym.___lc_codepage_func     6 0x140007a58 |   MATCH  (1.000000) | 0x140007a58      6 sym.___lc_codepage_func
                 sym.___mb_cur_max_func     6 0x140007a60 |   MATCH  (1.000000) | 0x140007a60      6 sym.___mb_cur_max_func
                      sym.__getmainargs     6 0x140007a68 |   MATCH  (1.000000) | 0x140007a68      6 sym.__getmainargs
                         sym.__iob_func     6 0x140007a70 |   MATCH  (1.000000) | 0x140007a70      6 sym.__iob_func
                     sym.__set_app_type     6 0x140007a78 |   MATCH  (1.000000) | 0x140007a78      6 sym.__set_app_type
                   sym.__setusermatherr     6 0x140007a80 |   MATCH  (1.000000) | 0x140007a80      6 sym.__setusermatherr
                         sym._amsg_exit     6 0x140007a88 |   MATCH  (1.000000) | 0x140007a88      6 sym._amsg_exit
                             sym._cexit     6 0x140007a90 |   MATCH  (1.000000) | 0x140007a90      6 sym._cexit
                             sym._errno     6 0x140007a98 |   MATCH  (1.000000) | 0x140007a98      6 sym._errno
                          sym._initterm     6 0x140007aa0 |   MATCH  (1.000000) | 0x140007aa0      6 sym._initterm
                              sym._lock     6 0x140007aa8 |   MATCH  (1.000000) | 0x140007aa8      6 sym._lock
                            sym._onexit     6 0x140007ab0 |   MATCH  (1.000000) | 0x140007ab0      6 sym._onexit
                            sym._unlock     6 0x140007ab8 |   MATCH  (1.000000) | 0x140007ab8      6 sym._unlock
                              sym.abort     6 0x140007ac0 |   MATCH  (1.000000) | 0x140007ac0      6 sym.abort
                             sym.calloc     6 0x140007ac8 |   MATCH  (1.000000) | 0x140007ac8      6 sym.calloc
                               sym.exit     6 0x140007ad0 |   MATCH  (1.000000) | 0x140007ad0      6 sym.exit
                            sym.fprintf     6 0x140007ad8 |   MATCH  (1.000000) | 0x140007ad8      6 sym.fprintf
                              sym.fputc     6 0x140007ae0 |   MATCH  (1.000000) | 0x140007ae0      6 sym.fputc
                               sym.free     6 0x140007ae8 |   MATCH  (1.000000) | 0x140007ae8      6 sym.free
                             sym.fwrite     6 0x140007af0 |   MATCH  (1.000000) | 0x140007af0      6 sym.fwrite
                         sym.localeconv     6 0x140007af8 |   MATCH  (1.000000) | 0x140007af8      6 sym.localeconv
                             sym.malloc     6 0x140007b00 |   MATCH  (1.000000) | 0x140007b00      6 sym.malloc
                             sym.memcpy     6 0x140007b08 |   MATCH  (1.000000) | 0x140007b08      6 sym.memcpy
                             sym.memset     6 0x140007b10 |   MATCH  (1.000000) | 0x140007b10      6 sym.memset
                             sym.signal     6 0x140007b18 |   MATCH  (1.000000) | 0x140007b18      6 sym.signal
                           sym.strerror     6 0x140007b20 |   MATCH  (1.000000) | 0x140007b20      6 sym.strerror
                             sym.strlen     6 0x140007b28 |   MATCH  (1.000000) | 0x140007b28      6 sym.strlen
                            sym.strncmp     6 0x140007b30 |   MATCH  (1.000000) | 0x140007b30      6 sym.strncmp
                           sym.vfprintf     6 0x140007b38 |   MATCH  (1.000000) | 0x140007b38      6 sym.vfprintf
                             sym.wcslen     6 0x140007b40 |   MATCH  (1.000000) | 0x140007b40      6 sym.wcslen
                sym.register_frame_ctor     5 0x140007bc0 |   MATCH  (1.000000) | 0x140007bc0      5 sym.register_frame_ctor
